Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
COMMUNITY OF ORCUTT,1,269,259,7,3,"September 1, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,351,330,16,5,"September 1, 2020"
Out of County,,,0,0,0,"September 1, 2020"
Pending,2,375,358,17,,"September 1, 2020"
Total**,23,8164,7860,209,95,"September 1, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,178,168,4,6,"August 31, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,1092,1054,27,11,"August 31, 2020"
CITY OF GOLETA,1,212,204,4,4,"August 31, 2020"
COMMUNITY OF ISLA VISTA,3,146,139,6,1,"August 31, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,171,145,25,1,"August 31, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,118,108,8,2,"August 31, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,11,653,617,28,8,"August 31, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 31, 2020"
CITY OF SANTA MARIA,18,3564,3429,85,50,"August 31, 2020"
COMMUNITY OF ORCUTT,2,268,257,8,3,"August 31, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,349,331,114,4,"August 31, 2020"
Out of County,,,0,0,0,"August 31, 2020"
Pending,1,373,354,19,,"August 31, 2020"
Total**,46,8143,7822,228,93,"August 31, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,176,166,4,6,"August 28, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,1077,1025,40,12,"August 28, 2020"
CITY OF GOLETA,2,207,198,6,3,"August 28, 2020"
COMMUNITY OF ISLA VISTA,1,142,137,4,1,"August 28, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,155,141,13,1,"August 28, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,113,100,11,2,"August 28, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,637,605,24,8,"August 28, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 28, 2020"
CITY OF SANTA MARIA,32,3536,3385,103,48,"August 28, 2020"
COMMUNITY OF ORCUTT,5,260,249,7,4,"August 28, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,332,317,11,4,"August 28, 2020"
Out of County,,,0,0,0,"August 28, 2020"
Pending,1,360,337,23,,"August 28, 2020"
Total**,67,8014,7676,246,92,"August 28, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,175,163,6,6,"August 27, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3,1072,1023,37,12,"August 27, 2020"
CITY OF GOLETA,1,205,197,5,3,"August 27, 2020"
COMMUNITY OF ISLA VISTA,0,141,136,4,1,"August 27, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,151,141,9,1,"August 27, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,110,94,14,2,"August 27, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,4,629,602,19,8,"August 27, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 27, 2020"
CITY OF SANTA MARIA,16,3508,3367,94,47,"August 27, 2020"
COMMUNITY OF ORCUTT,1,255,246,5,4,"August 27, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,327,315,8,4,"August 27, 2020"
Out of County,,,0,0,0,"August 27, 2020"
Pending,4,359,332,27,,"August 27, 2020"
Total**,35,7951,7632,228,91,"August 27, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,173,162,5,6,"August 26, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1069,1015,42,12,"August 26, 2020"
CITY OF GOLETA,1,204,195,6,3,"August 26, 2020"
COMMUNITY OF ISLA VISTA,1,141,132,8,1,"August 26, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,149,140,8,1,"August 26, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,108,92,14,2,"August 26, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,625,595,23,7,"August 26, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 26, 2020"
CITY OF SANTA MARIA,17,3492,3353,92,47,"August 26, 2020"
COMMUNITY OF ORCUTT,0,254,244,6,4,"August 26, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,327,315,8,4,"August 26, 2020"
Out of County,,,0,0,0,"August 26, 2020"
Pending,4,355,326,29,,"August 26, 2020"
Total**,47,7916,7585,241,90,"August 26, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,173,162,5,6,"August 25, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1056,1008,37,11,"August 25, 2020"
CITY OF GOLETA,1,203,192,8,3,"August 25, 2020"
COMMUNITY OF ISLA VISTA,0,140,131,8,1,"August 25, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,146,140,5,1,"August 25, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,105,92,11,2,"August 25, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,17,624,593,24,7,"August 25, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 25, 2020"
CITY OF SANTA MARIA,34,3475,3335,93,47,"August 25, 2020"
COMMUNITY OF ORCUTT,2,254,243,7,4,"August 25, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,323,313,6,4,"August 25, 2020"
Out of County,,,0,0,0,"August 25, 2020"
Pending,4,351,326,25,,"August 25, 2020"
Total**,70,7869,7551,229,89,"August 25, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,173,162,5,6,"August 25, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,1056,1008,37,11,"August 25, 2020"
CITY OF GOLETA,1,203,192,8,3,"August 25, 2020"
COMMUNITY OF ISLA VISTA,0,140,131,8,1,"August 25, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,146,140,5,1,"August 25, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,105,92,11,2,"August 25, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,17,624,593,24,7,"August 25, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 25, 2020"
CITY OF SANTA MARIA,34,3475,3335,93,47,"August 25, 2020"
COMMUNITY OF ORCUTT,2,254,243,7,4,"August 25, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,323,313,6,4,"August 25, 2020"
Out of County,,,0,0,0,"August 25, 2020"
Pending,4,351,326,25,,"August 25, 2020"
Total**,70,7869,7551,229,89,"August 25, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,172,162,4,6,"August 24, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1049,996,42,11,"August 24, 2020"
CITY OF GOLETA,2,202,189,10,3,"August 24, 2020"
COMMUNITY OF ISLA VISTA,1,141,130,10,1,"August 24, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,145,136,8,1,"August 24, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,103,88,13,2,"August 24, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,607,577,23,7,"August 24, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 24, 2020"
CITY OF SANTA MARIA,27,3441,3307,87,47,"August 24, 2020"
COMMUNITY OF ORCUTT,1,252,242,6,4,"August 24, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,322,312,7,3,"August 24, 2020"
Out of County,,,0,0,0,"August 24, 2020"
Pending,6,347,324,23,,"August 24, 2020"
Total**,61,7800,7479,233,88,"August 24, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,169,162,1,6,"August 21, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1015,972,33,10,"August 21, 2020"
CITY OF GOLETA,7,199,183,13,3,"August 21, 2020"
COMMUNITY OF ISLA VISTA,4,135,124,10,1,"August 21, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,139,127,11,1,"August 21, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,97,85,10,2,"August 21, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,590,557,26,7,"August 21, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 21, 2020"
CITY OF SANTA MARIA,25,3387,3257,83,47,"August 21, 2020"
COMMUNITY OF ORCUTT,4,247,232,11,4,"August 21, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,322,299,20,3,"August 21, 2020"
Out of County,,,0,0,0,"August 21, 2020"
Pending,10,334,298,36,,"August 21, 2020"
Total**,81,7653,7312,254,87,"August 21, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,169,161,2,6,"August 20, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1003,962,31,10,"August 20, 2020"
CITY OF GOLETA,4,193,182,8,3,"August 20, 2020"
COMMUNITY OF ISLA VISTA,2,131,114,16,1,"August 20, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,139,127,11,1,"August 20, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,91,84,5,2,"August 20, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,585,553,25,7,"August 20, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 20, 2020"
CITY OF SANTA MARIA,30,3364,3251,69,44,"August 20, 2020"
COMMUNITY OF ORCUTT,1,244,231,9,4,"August 20, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,316,297,16,3,"August 20, 2020"
Out of County,,,0,0,0,"August 20, 2020"
Pending,7 ,324,291,33,,"August 20, 2020"
Total**,71,7578,7269,225,84,"August 20, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,168,161,1,6,"August 19, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,991,954,27,10,"August 19, 2020"
CITY OF GOLETA,2,189,180,6,3,"August 19, 2020"
COMMUNITY OF ISLA VISTA,1,128,108,20,0,"August 19, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,139,126,12,1,"August 19, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87,84,1,2,"August 19, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,579,544,28,7,"August 19, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 19, 2020"
CITY OF SANTA MARIA,9,3334,3212,79,43,"August 19, 2020"
COMMUNITY OF ORCUTT,3,243,231,8,4,"August 19, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,313,296,14,3,"August 19, 2020"
Out of County,,,0,0,0,"August 19, 2020"
Pending,2,318,284,34,,"August 19, 2020"
Total**,27,7508,7196,230,82,"August 19, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,168,160,2,6,"August 18, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,985,944,31,10,"August 18, 2020"
CITY OF GOLETA,2,187,177,7,3,"August 18, 2020"
COMMUNITY OF ISLA VISTA,0,127,105,22,0,"August 18, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,137,126,10,1,"August 18, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87,83,2,2,"August 18, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,2,576,539,30,7,"August 18, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 18, 2020"
CITY OF SANTA MARIA,2,3324,3191,91,42,"August 18, 2020"
COMMUNITY OF ORCUTT,0,240,230,6,4,"August 18, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,311,290,18,3,"August 18, 2020"
Out of County,,,0,0,0,"August 18, 2020"
Pending,11,320,283,37,,"August 18, 2020"
Total**,29,7481,7144,256,81,"August 18, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,168,160,2,6,"August 17, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,7,980,936,35,9,"August 17, 2020"
CITY OF GOLETA,3,185,174,8,3,"August 17, 2020"
COMMUNITY OF ISLA VISTA,1,127,103,24,0,"August 17, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,131,126,4,1,"August 17, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,87,80,5,2,"August 17, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,10,574,531,36,7,"August 17, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 17, 2020"
CITY OF SANTA MARIA,34,3323,3173,108,42,"August 17, 2020"
COMMUNITY OF ORCUTT,3,240,230,6,4,"August 17, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",9,311,291,17,3,"August 17, 2020"
Out of County,,,0,0,0,"August 17, 2020"
Pending,7,309,276,33,,"August 17, 2020"
Total**,76,7454,7096,278,80,"August 17, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,167,157,4,6,"August 14, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,956,905,43,8,"August 14, 2020"
CITY OF GOLETA,4,174,164,7,3,"August 14, 2020"
COMMUNITY OF ISLA VISTA,12,116,92,24,0,"August 14, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,127,120,6,1,"August 14, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,86,77,7,2,"August 14, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,12,554,519,28,7,"August 14, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 14, 2020"
CITY OF SANTA MARIA,60,3252,3091,121,40,"August 14, 2020"
COMMUNITY OF ORCUTT,3,233,223,6,4,"August 14, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,292,278,11,3,"August 14, 2020"
Out of County,,,0,0,0,"August 14, 2020"
Pending,23,298,265,33,,"August 14, 2020"
Total**,137,7274,6907,290,77,"August 14, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,165,156,3,6,"August 13, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,14,942,898,37,7,"August 13, 2020"
CITY OF GOLETA,3,172,164,5,3,"August 13, 2020"
COMMUNITY OF ISLA VISTA,9,103,86,17,0,"August 13, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,125,119,5,1,"August 13, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,85,75,8,2,"August 13, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,7,542,517,18,7,"August 13, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 13, 2020"
CITY OF SANTA MARIA,28,3199,3073,86,40,"August 13, 2020"
COMMUNITY OF ORCUTT,2,229,219,7,3,"August 13, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,287,277,7,3,"August 13, 2020"
Out of County,,,0,0,0,"August 13, 2020"
Pending,6,280,266,14,,"August 13, 2020"
Total**,75,7148,6866,207,75,"August 13, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,166,153,7,6,"August 12, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,2,929,884,38,7,"August 12, 2020"
CITY OF GOLETA,0,169,159,7,3,"August 12, 2020"
COMMUNITY OF ISLA VISTA,1,97,83,14,0,"August 12, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,125,116,8,1,"August 12, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,81,74,5,2,"August 12, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,3,536,506,23,7,"August 12, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 12, 2020"
CITY OF SANTA MARIA,2,3175,3030,106,39,"August 12, 2020"
COMMUNITY OF ORCUTT,1,227,214,10,3,"August 12, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,285,271,12,2,"August 12, 2020"
Out of County,,,0,0,0,"August 12, 2020"
Pending,4,274,255,19,,"August 12, 2020"
Total**,16*,7083,6761,249,73,"August 12, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,168,156,2,5,"August 11, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,928,867,54,7,"August 11, 2020"
CITY OF GOLETA,1,170,153,14,3,"August 11, 2020"
COMMUNITY OF ISLA VISTA,2,96,76,20,0,"August 11, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,125,115,9,1,"August 11, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,80,74,4,2,"August 11, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,533,496,30,7,"August 11, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 11, 2020"
CITY OF SANTA MARIA,45,3176,3013,123,40,"August 11, 2020"
COMMUNITY OF ORCUTT,3,226,209,14,3,"August 11, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,283,268,13,2,"August 11, 2020"
Out of County,,,0,0,0,"August 11, 2020"
Pending,3,270,248,22,,"August 11, 2020"
Total**,78,7074,6691,310,73,"August 11, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,167,154,9,5,"August 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,30,915,860,49,6,"August 10, 2020"
CITY OF GOLETA,13,169,150,16,3,"August 10, 2020"
COMMUNITY OF ISLA VISTA,14,94,69,25,0,"August 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,123,115,7,1,"August 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,80,74,4,2,"August 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,20,528,489,32,7,"August 10, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 10, 2020"
CITY OF SANTA MARIA,69,3129,2973,116,40,"August 10, 2020"
COMMUNITY OF ORCUTT,6,223,209,11,3,"August 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,279,263,14,2,"August 10, 2020"
Out of County,,,0,0,0,"August 10, 2020"
Pending,16,270,246,23,,"August 10, 2020"
Total**,187,6996,6618,306,72,"August 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,156,148,5,4,"August 7, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,876,833,37,6,"August 7, 2020"
CITY OF GOLETA,1,155,147,5,3,"August 7, 2020"
COMMUNITY OF ISLA VISTA,5,74,54,20,0,"August 7, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,116,114,1,1,"August 7, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,75,72,1,2,"August 7, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,499,466,26,7,"August 7, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 7, 2020"
CITY OF SANTA MARIA,26,3012,2901,73,37,"August 7, 2020"
COMMUNITY OF ORCUTT,2,214,208,3,3,"August 7, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,269,261,6,2,"August 7, 2020"
Out of County,,,0,0,1,"August 7, 2020"
Pending,5,239,217,21,,"August 7, 2020"
Total**,58,6704,6437,198,69,"August 7, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,154,147,4,4,"August 6, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,871,825,40,6,"August 6, 2020"
CITY OF GOLETA,3,154,145,6,3,"August 6, 2020"
COMMUNITY OF ISLA VISTA,13,69,52,17,0,"August 6, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,115,113,1,1,"August 6, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,74,72,0,2,"August 6, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,491,460,24,7,"August 6, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 6, 2020"
CITY OF SANTA MARIA,35,2990,2875,78,36,"August 6, 2020"
COMMUNITY OF ORCUTT,3,213,205,5,3,"August 6, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,267,260,5,2,"August 6, 2020"
Out of County,,,0,0,1,"August 6, 2020"
Pending,8,235,209,25,,"August 6, 2020"
Total**,77,6652,6379,205,68,"August 6, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,153,145,5,4,"August 5, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,17,866,813,48,5,"August 5, 2020"
CITY OF GOLETA,4,151,142,6,3,"August 5, 2020"
COMMUNITY OF ISLA VISTA,1,56,46,10,0,"August 5, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,114,111,2,1,"August 5, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,74,72,0,2,"August 5, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,486,456,23,7,"August 5, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 5, 2020"
CITY OF SANTA MARIA,19,2960,2826,97,36,"August 5, 2020"
COMMUNITY OF ORCUTT,2,210,203,4,3,"August 5, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,266,260,4,2,"August 5, 2020"
Out of County,,,0,0,1,"August 5, 2020"
Pending,6,231,205,25,,"August 5, 2020"
Total**,60,6586,6295,224,67,"August 5, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,152,145,5,2,"August 4, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,29,849,797,47,5,"August 4, 2020"
CITY OF GOLETA,3,147,138,6,3,"August 4, 2020"
COMMUNITY OF ISLA VISTA,2,55,45,10,0,"August 4, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,112,109,2,1,"August 4, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,74,71,1,2,"August 4, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,480,450,23,7,"August 4, 2020"
FEDERAL PRISON IN LOMPOC,0,1019,1016,0,3,"August 4, 2020"
CITY OF SANTA MARIA,12,2941,2807,98,35,"August 4, 2020"
COMMUNITY OF ORCUTT,1,208,201,4,3,"August 4, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,264,255,7,2,"August 4, 2020"
Out of County,,,0,0,1,"August 4, 2020"
Pending,6,225,201,24,,"August 4, 2020"
Total**,62,6526,6235,227,64,"August 4, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1 ,148,139,7,2,"August 3, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,820,774,41,5,"August 3, 2020"
CITY OF GOLETA,0,144,135,6,3,"August 3, 2020"
COMMUNITY OF ISLA VISTA,0,53,45,8,0,"August 3, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,108,105,2,1,"August 3, 2020"
